# Measured G1 fall: two deliberate falls, peak tilt 81.15 deg, yaw spun at 0.7 rad/s to exercise yaw invariance.
t_s,qw,qx,qy,qz
5.9790,-0.496290706,-0.046751612,0.081303512,0.863075640
6.0071,-0.504737250,-0.047736160,0.081158053,0.858122915
6.0274,-0.510784896,-0.048696719,0.081461106,0.854453924
6.0534,-0.518509072,-0.049750016,0.081529234,0.849721285
6.0734,-0.524417970,-0.050594552,0.081622714,0.846028201
6.0986,-0.531848609,-0.051424340,0.081350251,0.841352917
6.1225,-0.538831386,-0.052478746,0.081500744,0.836817990
6.1429,-0.544782437,-0.053162485,0.081281703,0.832934050
6.1638,-0.550854997,-0.053814281,0.080978899,0.828918098
6.1845,-0.556844141,-0.054418507,0.080614968,0.824902695
6.2049,-0.562719140,-0.054998600,0.080232964,0.820904986
6.2258,-0.568712377,-0.055548287,0.079777192,0.816771828
6.2463,-0.574564783,-0.056050567,0.079279420,0.812679775
6.2665,-0.580303727,-0.056530668,0.078771084,0.808608054
6.2868,-0.586049738,-0.056928829,0.078147713,0.804486015
6.3084,-0.592134441,-0.057315954,0.077442117,0.800059000
6.3290,-0.597894262,-0.057802381,0.076933108,0.795778005
6.3540,-0.604839709,-0.058417372,0.076351276,0.790523130
6.3775,-0.611332699,-0.058924411,0.075715350,0.785536397
6.4015,-0.617909657,-0.059557798,0.075217035,0.780373578
6.4221,-0.623517428,-0.060125218,0.074818853,0.775895041
6.4426,-0.629062707,-0.060719784,0.074458231,0.771394315
6.4634,-0.634647521,-0.061406991,0.074191548,0.766777229
6.4837,-0.640058433,-0.062148730,0.074010808,0.762223811
6.5038,-0.645378464,-0.062938761,0.073889802,0.757671200
6.5246,-0.650844971,-0.063803865,0.073810093,0.752915639
6.5452,-0.656215773,-0.064748991,0.073820858,0.748157008
6.5657,-0.661521286,-0.065737096,0.073871437,0.743378257
6.5975,-0.669674137,-0.067353537,0.074012490,0.735881922
6.6183,-0.674962989,-0.068391833,0.074063035,0.730932410
6.6391,-0.680202828,-0.069551895,0.074227754,0.725931737
6.6600,-0.685422605,-0.070795264,0.074455567,0.720860771
6.6807,-0.690551180,-0.072065055,0.074699699,0.715797214
6.7020,-0.695776166,-0.073496760,0.075055806,0.710535277
6.7226,-0.700793177,-0.074862877,0.075356273,0.705411869
6.7427,-0.705633916,-0.076362308,0.075791658,0.700360763
